date,date.1,open,high,low,close,volume
2023-07-26 06:45:00,2023-07-26 06:45:00,45845.0,45845.0,45845.0,45845.0,0
2023-07-26 07:15:00,2023-07-26 07:15:00,45845.0,45845.0,45845.0,45845.0,0
2023-07-26 07:45:00,2023-07-26 07:45:00,45845.0,45845.0,45845.0,45845.0,0
2023-07-26 08:15:00,2023-07-26 08:15:00,45845.0,45845.0,45845.0,45845.0,0
2023-07-26 08:45:00,2023-07-26 08:45:00,45845.0,45935.15,45845.0,45935.15,0
2023-07-26 09:45:00,2023-07-26 09:45:00,45850.2,45961.5,45813.95,45959.8,0
2023-07-26 10:15:00,2023-07-26 10:15:00,45960.65,45995.85,45917.25,45928.9,0
2023-07-26 10:45:00,2023-07-26 10:45:00,45925.85,45944.75,45867.9,45872.95,0
2023-07-26 11:15:00,2023-07-26 11:15:00,45871.2,45937.85,45843.7,45926.95,0
2023-07-26 11:45:00,2023-07-26 11:45:00,45929.65,45966.95,45890.6,45960.2,0
2023-07-26 12:15:00,2023-07-26 12:15:00,45958.55,45996.9,45931.65,45953.25,0
2023-07-26 12:45:00,2023-07-26 12:45:00,45953.9,45998.75,45903.25,45933.0,0
2023-07-26 13:15:00,2023-07-26 13:15:00,45932.45,46034.0,45932.45,45999.05,0
2023-07-26 13:45:00,2023-07-26 13:45:00,45998.35,46040.3,45931.35,45985.65,0
2023-07-26 14:15:00,2023-07-26 14:15:00,45983.45,46095.9,45977.15,46016.05,0
2023-07-26 14:45:00,2023-07-26 14:45:00,46014.15,46077.4,45941.6,46071.25,0
